,California,Daily CA,7-day CA,Texas,Daily TX,7-day TX,Florida,Daily FL,7-day FL,New York,Daily NY,7-day NY,Pennsylvania,Daily PA,7-day PA
4/3/20,12016.0,1226.0,1048.1399999999994,5734.0,665.0,542.4200000000001,10268.0,1260.0,1052.5700000000006,102987.0,10481.0,8326.569999999992,8570.0,1302.0,889.29
4/4/20,12837.0,821.0,1103.8600000000006,6567.0,833.0,587.4300000000003,11537.0,1269.0,1110.5699999999997,113833.0,10846.0,8776.140000000014,10444.0,1874.0,1085.5699999999997
4/5/20,15034.0,2197.0,1310.1399999999994,7209.0,642.0,631.0,12350.0,813.0,1157.7099999999991,123160.0,9327.0,9073.14,11589.0,1145.0,1165.2800000000007
4/6/20,16024.0,990.0,1267.0,8043.0,834.0,699.4299999999994,13324.0,974.0,1121.5800000000017,131815.0,8655.0,9307.429999999993,13127.0,1538.0,1281.7200000000003
4/7/20,17351.0,1327.0,1302.5699999999997,8925.0,882.0,730.8600000000006,14545.0,1221.0,1114.8499999999985,139875.0,8060.0,9146.0,14853.0,1726.0,1412.8499999999985
4/8/20,18897.0,1546.0,1355.2900000000009,9777.0,852.0,774.5699999999997,15456.0,911.0,1214.2900000000009,151061.0,11186.0,9587.570000000007,16631.0,1778.0,1517.4300000000003
4/9/20,19710.0,813.0,1274.2900000000009,11208.0,1431.0,877.0,16364.0,908.0,1050.8600000000006,161779.0,10718.0,9896.14999999998,18300.0,1669.0,1576.0
4/10/20,21081.0,1371.0,1295.0,12105.0,897.0,910.1399999999994,17531.0,1167.0,1037.5699999999997,172348.0,10569.0,9908.710000000021,20051.0,1751.0,1640.1500000000015
4/11/20,21717.0,636.0,1268.5699999999997,13023.0,918.0,922.2900000000009,18494.0,963.0,993.8499999999985,181026.0,8678.0,9599.0,21719.0,1668.0,1610.7099999999991
4/12/20,22800.0,1083.0,1109.4300000000003,13677.0,654.0,924.0,19895.0,1401.0,1077.8600000000006,189033.0,8007.0,9410.429999999993,22938.0,1219.0,1621.2900000000009
4/13/20,23934.0,1134.0,1130.0,14275.0,598.0,890.2799999999988,21019.0,1124.0,1099.2900000000009,195749.0,6716.0,9133.429999999993,24292.0,1354.0,1595.0
4/14/20,25389.0,1455.0,1148.2799999999988,15006.0,731.0,868.7200000000012,21628.0,609.0,1011.8499999999985,203020.0,7271.0,9020.710000000021,25465.0,1173.0,1516.0
4/15/20,26686.0,1297.0,1112.7200000000012,15907.0,901.0,875.7099999999991,22511.0,883.0,1007.8600000000006,214454.0,11434.0,9056.149999999994,26753.0,1288.0,1446.0
4/16/20,27677.0,991.0,1138.1399999999994,16876.0,969.0,809.7200000000012,23343.0,832.0,997.0,223691.0,9237.0,8844.569999999978,28258.0,1505.0,1422.5699999999997
4/17/20,29157.0,1480.0,1153.7099999999991,17849.0,973.0,820.5699999999997,24759.0,1416.0,1032.5699999999997,230597.0,6906.0,8321.280000000028,29888.0,1630.0,1405.2799999999988
4/18/20,30511.0,1354.0,1256.2900000000009,18704.0,855.0,811.5699999999997,25492.0,733.0,999.7200000000012,237403.0,6806.0,8053.859999999986,31652.0,1764.0,1419.0
4/19/20,31431.0,920.0,1233.0,19260.0,556.0,797.5699999999997,26314.0,822.0,917.0,243551.0,6148.0,7788.290000000008,32902.0,1250.0,1423.4300000000003
4/20/20,33686.0,2255.0,1393.1399999999994,19751.0,491.0,782.2900000000009,27059.0,745.0,862.8499999999985,248631.0,5080.0,7554.569999999978,33914.0,1012.0,1374.5699999999997
4/21/20,35480.0,1794.0,1441.5699999999997,20664.0,913.0,808.2799999999988,27869.0,810.0,891.5800000000017,253496.0,4865.0,7210.850000000006,35249.0,1335.0,1397.7200000000012
4/22/20,37352.0,1872.0,1523.7200000000012,21321.0,657.0,773.4300000000003,28309.0,440.0,828.2799999999988,258427.0,4931.0,6281.860000000015,36082.0,833.0,1332.7099999999991
4/23/20,39561.0,2209.0,1697.7099999999991,22650.0,1329.0,824.8600000000006,29648.0,1339.0,900.7200000000012,263460.0,5033.0,5681.289999999979,38379.0,2297.0,1445.8600000000006
4/24/20,41355.0,1794.0,1742.5699999999997,23642.0,992.0,827.5699999999997,30533.0,885.0,824.8499999999985,271590.0,8130.0,5856.140000000014,40208.0,1829.0,1474.2799999999988
4/25/20,42368.0,1013.0,1693.8600000000006,24153.0,511.0,778.4300000000003,30839.0,306.0,763.8600000000006,282143.0,10553.0,6391.429999999993,41153.0,945.0,1357.2900000000009
4/26/20,43559.0,1191.0,1732.5699999999997,24967.0,814.0,815.2799999999988,31532.0,693.0,745.4300000000003,288045.0,5902.0,6356.280000000028,42616.0,1463.0,1387.7099999999991
4/27/20,44972.0,1413.0,1612.2900000000009,25412.0,445.0,808.7200000000012,32138.0,606.0,725.5699999999997,291996.0,3951.0,6195.0,43558.0,942.0,1377.7200000000012
4/28/20,46164.0,1192.0,1526.2799999999988,26357.0,945.0,813.2799999999988,32848.0,710.0,711.2900000000009,295106.0,3110.0,5944.289999999979,45137.0,1579.0,1412.5699999999997
4/29/20,48747.0,2583.0,1627.8600000000006,27369.0,1012.0,864.0,33193.0,345.0,697.7099999999991,299691.0,4585.0,5894.859999999986,46327.0,1190.0,1463.5699999999997
4/30/20,50130.0,1383.0,1509.8600000000006,28727.0,1358.0,868.1500000000015,33690.0,497.0,577.4300000000003,304372.0,4681.0,5844.570000000007,47971.0,1644.0,1370.2900000000009
5/1/20,52026.0,1896.0,1524.4300000000003,29692.0,965.0,864.2799999999988,34728.0,1038.0,599.2799999999988,308314.0,3942.0,5246.280000000028,49579.0,1608.0,1338.7099999999991
5/2/20,53347.0,1321.0,1568.4199999999983,30917.0,1225.0,966.2900000000009,35463.0,735.0,660.5800000000017,312977.0,4663.0,4404.859999999986,50494.0,915.0,1334.4300000000003
5/3/20,54903.0,1556.0,1620.5800000000017,31998.0,1081.0,1004.4300000000003,36078.0,615.0,649.4199999999983,316415.0,3438.0,4052.859999999986,51225.0,731.0,1229.8600000000006
5/4/20,55884.0,981.0,1558.8499999999985,32783.0,785.0,1053.0,36897.0,819.0,679.8600000000006,318953.0,2538.0,3851.0,52816.0,1591.0,1322.5699999999997
5/5/20,58456.0,2572.0,1756.0,33912.0,1129.0,1079.2799999999988,37439.0,542.0,655.8600000000006,321192.0,2239.0,3726.570000000007,53864.0,1048.0,1246.7099999999991
5/6/20,60616.0,2160.0,1695.5699999999997,34928.0,1016.0,1079.8600000000006,38002.0,563.0,687.0,323978.0,2786.0,3469.570000000007,54800.0,936.0,1210.4300000000003
5/7/20,62148.0,1532.0,1716.8600000000006,36036.0,1108.0,1044.1399999999994,38828.0,826.0,734.0,327469.0,3491.0,3299.570000000007,55956.0,1156.0,1140.7200000000012
5/8/20,63800.0,1652.0,1682.0,37246.0,1210.0,1079.1500000000015,39199.0,371.0,638.7099999999991,330407.0,2938.0,3156.149999999965,57371.0,1415.0,1113.1399999999994
5/9/20,66572.0,2772.0,1889.2900000000009,38394.0,1148.0,1068.1399999999994,40001.0,802.0,648.2900000000009,333122.0,2715.0,2877.850000000035,58560.0,1189.0,1152.2799999999988
5/10/20,67600.0,1028.0,1813.8499999999985,39258.0,864.0,1037.1399999999994,40596.0,595.0,645.4300000000003,335395.0,2273.0,2711.429999999993,59939.0,1379.0,1244.8600000000006
5/11/20,69329.0,1729.0,1920.7200000000012,40555.0,1297.0,1110.2900000000009,40982.0,386.0,583.5699999999997,337055.0,1660.0,2586.0,60459.0,520.0,1091.8600000000006
5/12/20,70980.0,1651.0,1789.1400000000067,41668.0,1113.0,1108.0,41923.0,941.0,640.5699999999997,338485.0,1430.0,2470.429999999993,61310.0,851.0,1063.7099999999991
5/13/20,72798.0,1818.0,1740.2899999999936,43020.0,1352.0,1156.0,42402.0,479.0,628.5699999999997,340661.0,2176.0,2383.289999999979,62101.0,791.0,1043.0
5/14/20,74871.0,2073.0,1817.5699999999924,44480.0,1460.0,1206.2799999999988,43210.0,808.0,626.0,343051.0,2390.0,2226.0,63105.0,1004.0,1021.2900000000009
5/15/20,76693.0,1822.0,1841.8600000000006,45721.0,1241.0,1210.7200000000012,44138.0,928.0,705.5699999999997,345813.0,2762.0,2200.850000000035,64136.0,1031.0,966.4300000000003
5/16/20,78725.0,2032.0,1736.1399999999994,47452.0,1731.0,1294.0,44811.0,673.0,687.1500000000015,348232.0,2419.0,2158.570000000007,65185.0,1049.0,946.4300000000003
5/17/20,80166.0,1441.0,1795.140000000014,48396.0,944.0,1305.4300000000003,45588.0,777.0,713.1399999999994,350121.0,1889.0,2103.719999999972,65700.0,515.0,823.0
5/18/20,81518.0,1352.0,1741.2899999999936,49177.0,781.0,1231.7099999999991,46442.0,854.0,780.0,351371.0,1250.0,2045.140000000014,66669.0,969.0,887.1399999999994
5/19/20,83764.0,2246.0,1826.2799999999988,50552.0,1375.0,1269.1399999999994,46944.0,502.0,717.2799999999988,352845.0,1474.0,2051.429999999993,67311.0,642.0,857.2799999999988
5/20/20,86018.0,2254.0,1888.570000000007,51859.0,1307.0,1262.7200000000012,47471.0,527.0,724.1500000000015,354370.0,1525.0,1958.429999999993,68126.0,815.0,860.7199999999939
5/21/20,88056.0,2038.0,1883.5799999999872,53053.0,1194.0,1224.7099999999991,48675.0,1204.0,780.7099999999991,356458.0,2088.0,1915.280000000028,69252.0,1126.0,878.140000000014
5/22/20,90281.0,2225.0,1941.1399999999994,53539.0,486.0,1116.8600000000006,49451.0,776.0,759.0,358154.0,1696.0,1763.0,70211.0,959.0,867.859999999986
5/23/20,92564.0,2283.0,1977.0,54776.0,1237.0,1046.2799999999988,50127.0,676.0,759.4300000000003,359926.0,1772.0,1670.579999999958,71009.0,798.0,832.0
5/24/20,94069.0,1505.0,1986.140000000014,55861.0,1085.0,1066.4300000000003,50867.0,740.0,754.1399999999994,361515.0,1589.0,1627.710000000021,71563.0,554.0,837.570000000007
5/25/20,96470.0,2401.0,2136.0,56409.0,548.0,1033.1500000000015,51746.0,879.0,757.7200000000012,362764.0,1249.0,1627.570000000007,71925.0,362.0,750.8600000000006
